external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj,
Gm12511,ENSMUSG00000066176,5.249026409,0.218328526,NA,-2.557205643,0.553654119,NA,4.915830439,0.248962439,NA,-2.890401613,0.50320781,1,0
Rpl17-ps4,ENSMUSG00000084345,-3.387537796,0.42829616,NA,-3.968704534,0.353074048,NA,0,1,NA,-0.390466197,0.924834499,1,0
Gm12961,ENSMUSG00000082686,5.835617098,0.170572435,NA,-0.867309926,0.843994314,NA,5.502431844,0.196302658,NA,-1.20049518,0.785331539,1,0
Gm12827,ENSMUSG00000087228,0,1,NA,5.024330893,0.238431169,NA,-4.739136404,0.266138731,NA,0,1,1,0
Gm43817,ENSMUSG00000105341,0,1,NA,-5.020297322,0.238597174,NA,0,1,NA,-5.353471321,0.208869137,1,0
Gm20635,ENSMUSG00000093720,0,1,NA,4.995708185,0.241148928,NA,-4.710513696,0.269070328,NA,0,1,1,0
Igkv8-27,ENSMUSG00000076580,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm44750,ENSMUSG00000108750,4.725330667,0.268617473,NA,-3.358703763,0.43341971,NA,4.392131998,0.303822,NA,-3.691902431,0.389213651,1,0
Gm44264,ENSMUSG00000107561,-3.025906382,0.480081837,NA,4.418175342,0.300752047,NA,-4.132980853,0.333032413,NA,3.311100871,0.439683247,1,0
Mug-ps1,ENSMUSG00000101397,0,1,NA,5.07997188,0.233210762,NA,-4.794777391,0.260503654,NA,0,1,1,0
4933406L23Rik,ENSMUSG00000107793,5.138930225,0.228285608,NA,2.426444809,0.575702631,NA,2.473777587,0.555016684,NA,0,1,1,0
Gm17981,ENSMUSG00000101135,-2.221615781,0.606480223,NA,-4.623532336,0.27822006,NA,0,1,NA,-2.21121105,0.595600914,1,0
Gm40709,ENSMUSG00000112641,0,1,NA,5.548875554,0.19244798,NA,-5.263681065,0.216316487,NA,0,1,1,0
Gm48372,ENSMUSG00000111539,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
A230085B16Rik,ENSMUSG00000110047,-3.369972068,0.430733457,NA,4.757683236,0.264607095,NA,-4.472488747,0.294317866,NA,3.655166557,0.392762198,1,0
Gm22305,ENSMUSG00000064624,-3.413822176,0.424664115,NA,-4.348294182,0.308236886,NA,0,1,NA,-0.743775407,0.857142113,1,0
A630023A22Rik,ENSMUSG00000095493,-2.221612866,0.606480536,NA,4.739483544,0.266464188,NA,-4.454289055,0.296312409,NA,2.506807355,0.561086126,1,0
Gm16976,ENSMUSG00000085500,4.946905815,0.246430671,NA,-2.876450167,0.503887885,NA,4.613709679,0.279687698,NA,-3.209646303,0.455794494,1,0
Mcpt8,ENSMUSG00000022157,-3.54000959,0.407481504,NA,4.155748486,0.330881069,NA,-3.870553997,0.365141053,NA,3.825204079,0.370751282,1,0
Gm4681,ENSMUSG00000115146,0,1,NA,-5.102156609,0.230949756,NA,0,1,NA,-5.435331403,0.201916876,1,0
Gm48284,ENSMUSG00000111504,-3.025905875,0.4800819,NA,4.883749825,0.25199142,NA,-4.598555336,0.280752278,NA,3.311100364,0.439683306,1,0
Gm31816,ENSMUSG00000109844,0,1,NA,4.972404108,0.243377929,NA,-4.687209619,0.27147368,NA,0,1,1,0
Celf6,ENSMUSG00000032297,0,1,NA,4.972404108,0.243377929,NA,-4.687209619,0.27147368,NA,0,1,1,0
Gm16218,ENSMUSG00000059571,0,1,NA,5.07997188,0.233210762,NA,-4.794777391,0.260503654,NA,0,1,1,0
Gm10635,ENSMUSG00000111765,-3.025905875,0.4800819,NA,4.883749825,0.25199142,NA,-4.598555336,0.280752278,NA,3.311100364,0.439683306,1,0
Gm38214,ENSMUSG00000103967,-3.583997121,0.401591497,NA,4.619540854,0.278930431,NA,-4.334346365,0.309685841,NA,3.86919161,0.365185791,1,0
Kcnab3os,ENSMUSG00000086900,0,1,NA,-4.948648091,0.245437558,NA,0,1,NA,-5.281821394,0.215096898,1,0
Gm12589,ENSMUSG00000085126,0,1,NA,4.972404108,0.243377929,NA,-4.687209619,0.27147368,NA,0,1,1,0
Gm17177,ENSMUSG00000091834,0,1,NA,-4.995958781,0.240905368,NA,0,1,NA,-5.329132544,0.210969649,1,0
Gm48570,ENSMUSG00000114552,0,1,NA,-4.794051692,0.2606678,NA,0,1,NA,-5.127223494,0.228993487,1,0
Gm46415,ENSMUSG00000114481,-2.221613253,0.606480488,NA,1.31386311,0.752362618,NA,-4.007743089,0.348118474,NA,-0.472266726,0.910609029,1,0
Gm47435,ENSMUSG00000113212,0,1,NA,-5.002707649,0.240263739,NA,0,1,NA,-5.335881477,0.210385653,1,0
Gm6035,ENSMUSG00000114551,1.614747404,0.54607416,NA,1.044880895,0.698355318,NA,0.434818317,0.868090027,NA,-0.135048192,0.960853862,1,0
Gm20472,ENSMUSG00000092465,-3.387533092,0.428296725,NA,4.155747185,0.330881223,NA,-3.870552696,0.365141217,NA,3.672727581,0.390452552,1,0
Gm47441,ENSMUSG00000113606,-2.662513977,0.504552009,NA,-0.910194283,0.812721193,NA,-2.956792034,0.458856844,NA,-1.20447234,0.753759233,1,0
Atxn7l1os1,ENSMUSG00000079143,0,1,NA,-5.054860858,0.235346446,NA,0,1,NA,-5.388035194,0.205912569,1,0
Arl4aos,ENSMUSG00000086315,-2.80421247,0.513446651,NA,-1.538837172,0.714163906,NA,-2.141274482,0.62137901,NA,-0.875899184,0.833065231,1,0
Gm47689,ENSMUSG00000112459,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm47980,ENSMUSG00000113966,-1.808838423,0.676451398,NA,-4.889662332,0.251172405,NA,0,1,NA,-2.89011698,0.489899225,1,0
Gm38123,ENSMUSG00000103080,3.979080928,0.353415022,NA,5.106990006,0.230705635,NA,-1.366616906,0.741153648,NA,0,1,1,0
Ighg1,ENSMUSG00000076614,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm36899,ENSMUSG00000115138,0,1,NA,4.989916359,0.241701544,NA,-4.704721871,0.269666256,NA,0,1,1,0
Gm49411,ENSMUSG00000116185,0,1,NA,-4.984906659,0.24195875,NA,0,1,NA,-5.318080315,0.211928578,1,0
Prm1,ENSMUSG00000022501,-1.228105772,0.779038807,NA,5.387987631,0.20579208,NA,-5.102793142,0.230819316,NA,1.513300261,0.729547809,1,0
Gm15651,ENSMUSG00000089663,0,1,NA,5.012947053,0.239509445,NA,-4.727752564,0.267302014,NA,0,1,1,0
Gm5675,ENSMUSG00000116609,-3.025906382,0.480081837,NA,4.418175342,0.300752047,NA,-4.132980853,0.333032413,NA,3.311100871,0.439683247,1,0
Hs3st6,ENSMUSG00000039628,0,1,NA,4.984101068,0.242257306,NA,-4.698906579,0.270265519,NA,0,1,1,0
Or11a3-ps1,ENSMUSG00000092556,-3.540014286,0.407480952,NA,-4.175196848,0.328187829,NA,0,1,NA,-0.444485507,0.91433499,1,0
Gm49925,ENSMUSG00000117074,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm15956,ENSMUSG00000086935,0,1,NA,5.548875554,0.19244798,NA,-5.263681065,0.216316487,NA,0,1,1,0
Rpl27rt,ENSMUSG00000078240,0,1,NA,-5.13788595,0.227667621,NA,0,1,NA,-5.471061092,0.198936462,1,0
Gm19774,ENSMUSG00000099488,-0.169166746,0.936905375,NA,0.829903213,0.688000028,NA,-0.974260046,0.644214291,NA,0.024809913,0.990549488,1,0
Kcnv2,ENSMUSG00000047298,-2.804209793,0.513446987,NA,4.999682722,0.240770226,NA,-4.714488233,0.268661913,NA,3.089404282,0.471561808,1,0
Gm24336,ENSMUSG00000077391,0,1,NA,5.548875554,0.19244798,NA,-5.263681065,0.216316487,NA,0,1,1,0
Gm37506,ENSMUSG00000103016,-2.954606966,0.490681921,NA,-4.474037913,0.2942642,NA,0,1,NA,-1.328731109,0.748318439,1,0
Gm37219,ENSMUSG00000102687,0,1,NA,-4.859434431,0.254147695,NA,0,1,NA,-5.192606868,0.223039255,1,0
C230014O12Rik,ENSMUSG00000087461,0,1,NA,-4.953886119,0.244932818,NA,0,1,NA,-5.287059473,0.214637069,1,0
Prokr2,ENSMUSG00000050558,-2.542135319,0.554382551,NA,4.443512301,0.297944537,NA,-4.158317812,0.330033098,NA,2.827329808,0.510839307,1,0
Gm11763,ENSMUSG00000081722,0,1,NA,4.894599748,0.250925847,NA,-4.609405259,0.279605161,NA,0,1,1,0
Gm20637,ENSMUSG00000093687,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Cpne1,ENSMUSG00000074643,0,1,NA,-5.007793639,0.239781008,NA,0,1,NA,-5.340967517,0.209946332,1,0
Kcns1,ENSMUSG00000040164,0,1,NA,4.919166114,0.24852496,NA,-4.633971625,0.277019786,NA,0,1,1,0
Gm14407,ENSMUSG00000082023,-1.367157641,0.75414232,NA,-4.889666622,0.251171989,NA,0,1,NA,-3.331797762,0.429551084,1,0
Gm14400,ENSMUSG00000083817,-0.636415631,0.88194941,NA,4.883767821,0.25198965,NA,-2.938027184,0.488262408,NA,2.582156268,0.549065433,1,0
Gm14398,ENSMUSG00000083993,-1.367157031,0.754142353,NA,-2.935550987,0.487805996,NA,-1.570508244,0.719700071,NA,-3.1389022,0.456956902,1,0
Gm5466,ENSMUSG00000083397,-1.808838499,0.676451385,NA,-4.668683043,0.273495136,NA,0,1,NA,-2.669135468,0.523920015,1,0
Gm1848,ENSMUSG00000083892,1.065906657,0.690636535,NA,-3.015623708,0.272945981,NA,2.160465866,0.44034243,NA,-1.921064499,0.464563827,1,0
Xlr3c,ENSMUSG00000058147,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Gm14767,ENSMUSG00000081933,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Gdpd2,ENSMUSG00000019359,-2.691309732,0.530889201,NA,-4.247983312,0.319697379,NA,0,1,NA,-1.36596899,0.742200981,1,0
Gm7429,ENSMUSG00000082260,-0.335284406,0.892133578,NA,-0.241155888,0.919836701,NA,-0.564150156,0.820030325,NA,-0.470021638,0.844013393,1,0
Cgn,ENSMUSG00000068876,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Gm43436,ENSMUSG00000104967,0,1,NA,-4.716224851,0.268580335,NA,0,1,NA,-5.049395897,0.236229313,1,0
Gm43149,ENSMUSG00000105229,-1.808838423,0.676451398,NA,-4.760823831,0.264025815,NA,0,1,NA,-2.761277228,0.509589003,1,0
C230031I18Rik,ENSMUSG00000105202,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Gm43707,ENSMUSG00000104903,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Gm43307,ENSMUSG00000105990,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Rnf183,ENSMUSG00000063851,-2.54213474,0.554382625,NA,4.999680498,0.240770438,NA,-4.714486009,0.268662141,NA,2.827329229,0.510839376,1,0
Gm12608,ENSMUSG00000080808,-1.953324628,0.651626724,NA,-4.453831591,0.296480072,NA,0,1,NA,-2.309797204,0.580751847,1,0
8030487O14Rik,ENSMUSG00000105136,0,1,NA,-4.935471374,0.246710536,NA,0,1,NA,-5.26864455,0.216256811,1,0
Gm43753,ENSMUSG00000105707,0,1,NA,-4.89794045,0.250361937,NA,0,1,NA,-5.231113261,0.219585526,1,0
4930405N21Rik,ENSMUSG00000104705,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Gm13839,ENSMUSG00000087124,0,1,NA,-4.716224851,0.268580335,NA,0,1,NA,-5.049395897,0.236229313,1,0
Gm42883,ENSMUSG00000107085,0,1,NA,-4.990041911,0.241468901,NA,0,1,NA,-5.323215617,0.211482626,1,0
Gm15401,ENSMUSG00000072999,-3.025906834,0.480081781,NA,2.031328264,0.6308515,NA,-3.718960191,0.384552189,NA,1.338274907,0.752021784,1,0
Gm44095,ENSMUSG00000107794,-2.221615366,0.606480227,NA,-2.371665786,0.575814519,NA,-1.570510505,0.719699678,NA,-1.720560926,0.680135333,1,0
Gm10319,ENSMUSG00000071204,0,1,NA,5.470664485,0.19885236,NA,-5.185469996,0.223281756,NA,0,1,1,0
Ffar1,ENSMUSG00000044453,0,1,NA,5.470664485,0.19885236,NA,-5.185469996,0.223281756,NA,0,1,1,0
Gm10109,ENSMUSG00000062073,0,1,NA,4.894599748,0.250925847,NA,-4.609405259,0.279605161,NA,0,1,1,0
1700069B07Rik,ENSMUSG00000053081,0,1,NA,5.378597413,0.206591382,NA,-5.093402924,0.231686824,NA,0,1,1,0
Gm17059,ENSMUSG00000091184,-3.218027686,0.45215275,NA,-3.870817534,0.365283224,NA,0,1,NA,-0.462086709,0.911221956,1,0
Gm48074,ENSMUSG00000112875,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
Cabcoco1,ENSMUSG00000019945,-3.218022585,0.452153373,NA,4.619537728,0.278930761,NA,-4.334343239,0.309686195,NA,3.503217074,0.413094485,1,0
Gm16268,ENSMUSG00000089959,4.3121723,0.313631182,NA,-3.719462111,0.38468012,NA,3.97897414,0.352476781,NA,-4.052660271,0.343559027,1,0
4732465J04Rik,ENSMUSG00000101517,0,1,NA,4.894599748,0.250925847,NA,-4.609405259,0.279605161,NA,0,1,1,0
Gm9644,ENSMUSG00000110515,0,1,NA,-4.716224851,0.268580335,NA,0,1,NA,-5.049395897,0.236229313,1,0
Gm5910,ENSMUSG00000110617,-1.313763575,0.663748783,NA,2.46362711,0.39466746,NA,-3.161321726,0.286067779,NA,0.616068959,0.834810008,1,0
Gm48603,ENSMUSG00000114246,0,1,NA,5.470664485,0.19885236,NA,-5.185469996,0.223281756,NA,0,1,1,0
Pnma2,ENSMUSG00000046204,-2.542139504,0.554382027,NA,-4.247984761,0.319697214,NA,0,1,NA,-1.515139218,0.715563754,1,0
Adam28,ENSMUSG00000014725,0,1,NA,5.470664485,0.19885236,NA,-5.185469996,0.223281756,NA,0,1,1,0
4930535L15Rik,ENSMUSG00000093619,0,1,NA,5.378597413,0.206591382,NA,-5.093402924,0.231686824,NA,0,1,1,0
Gm11662,ENSMUSG00000083748,-3.177189022,0.458011262,NA,-4.348296481,0.30823663,NA,0,1,NA,-0.980408561,0.812672285,1,0
Zfp389,ENSMUSG00000082396,-2.830299108,0.509459081,NA,-1.584891277,0.705941174,NA,-2.14127523,0.621378885,NA,-0.8958674,0.82924755,1,0
H2ac7,ENSMUSG00000071478,0,1,NA,-5.059803409,0.234884197,NA,0,1,NA,-5.392977792,0.205492308,1,0
