external_gene_name,gene,HU_No_Ex_vs_NL_No_Ex_log2FoldChange,HU_No_Ex_vs_NL_No_Ex_pvalue,HU_No_Ex_vs_NL_No_Ex_padj,HU_Ex_vs_NL_Ex_log2FoldChange,HU_Ex_vs_NL_Ex_pvalue,HU_Ex_vs_NL_Ex_padj,HU_No_Ex_vs_HU_Ex_log2FoldChange,HU_No_Ex_vs_HU_Ex_pvalue,HU_No_Ex_vs_HU_Ex_padj,NL_No_Ex_vs_NL_Ex_log2FoldChange,NL_No_Ex_vs_NL_Ex_pvalue,NL_No_Ex_vs_NL_Ex_padj
Ppic,ENSMUSG00000024538,-0.147814431,0.553695603,0.83093728,0.981491149,8.35E-05,0.076050113,-0.733755975,0.003273985,0.19527868,0.395549605,0.112973105,1
Dnajc8,ENSMUSG00000054405,0.192289077,0.237802665,0.579821315,-0.123073457,0.449704341,1,0.077845819,0.633030256,0.966716227,-0.237516715,0.14424392,1
E2f6,ENSMUSG00000057469,2.05980153,0.000579665,0.023976802,0.643384777,0.282476048,0.981184659,0.87288522,0.144671431,0.730718532,-0.543531533,0.364037653,1
Slc12a7,ENSMUSG00000017756,-0.683722487,0.097668914,0.37559489,-0.278248315,0.500165965,1,-0.330705664,0.42325624,0.911450881,0.074768508,0.856174496,1
Nrbp2,ENSMUSG00000075590,-0.275476816,0.540965149,0.823613501,-0.116927674,0.795241161,1,-0.120532947,0.789139739,0.98189601,0.038016194,0.932742845,1
Dda1,ENSMUSG00000074247,0.150185845,0.383043173,0.715757736,0.193537387,0.261366562,0.976047576,0.07641816,0.657446248,0.968819509,0.119769702,0.486613903,1
Yipf4,ENSMUSG00000024072,-0.223760719,0.199214271,0.535017268,-0.123242733,0.47948774,1,-0.042743384,0.806602865,0.983635573,0.057774602,0.739839073,1
Pid1,ENSMUSG00000045658,-0.519990208,0.027817776,0.197790782,-0.289981161,0.21985366,0.97006561,-0.090705388,0.70157088,0.972424979,0.13930366,0.555043293,1
Baz2a,ENSMUSG00000040054,-0.331910875,0.166533967,0.491327262,-0.427121585,0.075120381,0.962016865,0.136568532,0.569771047,0.955986646,0.041357821,0.862978162,1
Kctd2,ENSMUSG00000016940,-0.190910618,0.34475963,0.684253424,-0.038912297,0.847180669,1,-0.200211882,0.322163508,0.864114847,-0.048213561,0.811121983,1
Polg,ENSMUSG00000039176,0.274853328,0.237328198,0.579410702,-0.043233192,0.852620846,1,0.270466325,0.245212631,0.811313912,-0.047620196,0.837757322,1
Sc5d,ENSMUSG00000032018,-0.32116734,0.213709289,0.553824216,-0.605643441,0.018987084,0.825123279,0.00866743,0.973259835,1,-0.275808671,0.284872427,1
